song_title,danceability,duration,energy,key
Mask Off,1.833,204600,1.434,2
Redbone,1.743,326933,1.359,1
Xanny Family,1.838,185707,1.412,2
Master Of None,1.494,199413,1.338,5
Parallel Lines,1.678,392893,1.561,5
Sneakinf,1.814,251333,1.56,8
Childs Play,1.739,241400,1.472,1
aa,1.266,349667,1.348,11
I've Seen Footage,1.613,202853,1.944,11
Digital Animal,1.836,226840,1.613,7
Subways - In Flagranti Extended Edit,1.525,358187,1.855,5
Donme Dolap - Baris K Edit,1.753,324880,1.748,11
Cemalim,1.613,356973,1.434,1
One Night,1.762,243270,1.476,1
Oh lala,1.662,247288,1.613,9
Char,1.637,188333,1.832,6
World In Motion,1.613,270827,1.955,1
One Nation Under a Groove,1.789,447907,1.659,4
Bouncin,1.713,195429,1.611,1
White Iverson,1.676,254769,1.528,7
I Know There's Gonna Be (Good Times),1.532,213622,1.596,11
Loud Places,1.646,283067,1.629,8
L$D,1.598,238307,1.252,2
Dopeman,1.754,113373,1.442,5
California Nights,1.294,311360,1.786,2
Baby,1.622,287427,1.253,2
Ain't No Love In The Heart Of The City - Single Version,1.559,225347,1.656,9
Fail to Cry,1.54,293646,1.945,9
Evil Friends (feat. Danny Brown) - Jake One Remix,1.793,232251,1.7,1
Ikimiz Bir Fidaniz - Baris K Edit,1.549,223720,1.715,1
Sentimental Trash,1.557,186397,1.617,1
Get Away,1.597,279240,1.444,2
Look At Wrist,1.879,213786,1.512,1
Our Love,1.726,334173,1.497,11
I Ain't Trippin off Nothin,1.857,134062,1.831,2
They Don't Know - Original Mix,1.817,330920,1.778,1
Sabali,1.596,196627,1.639,1
Spooky,1.683,155133,1.718,4
Pick Up The Pieces,1.768,239908,1.853,11
Have Love Will Travel,1.516,160400,1.948,11
Capitol,1.457,293533,1.918,11
Uncast Shadow Of A Southern Myth,1.468,386760,1.58,7
I Shall Be Released - Remastered,1.537,232453,1.447,9
Words I Don't Remember,1.515,378253,1.217,3
Hercules Theme,1.735,269817,1.641,7
Rewind,1.746,238146,1.416,11
My Sub (Pt. 2: The Jackin') - Album Version (Edited),1.547,251093,1.643,1
Kush,1.634,221960,1.619,6
9,1.617,253800,1.488,8
Magnets,1.714,199246,1.647,11
Don't Move,1.558,258187,1.642,5
Pussy,1.698,248053,1.814,4
Black Mags,1.772,191160,1.582,4
Stay Fly - Explicit Album Version,1.788,238467,1.864,11
Sippin On Some Syrup,1.944,261973,1.839,11
Poppin' My Collar - feat. Project Pat - Explicit,1.729,176880,1.795,7
Sittin' Sidewayz - feat. Big Pokey Explicit,1.721,228933,1.621,1
Gold and a Pager,1.798,227587,1.751,1
Pony,1.413,216771,1.676,6
WTF (Where They From) [feat. Pharrell Williams],1.932,192773,1.819,8
Again,1.748,312240,1.733,11
Exchange,1.53,194613,1.433,6
Sugar for the Queen,1.388,238000,1.688,5
Symphony of the Nymph,1.371,275013,1.713,3
Cool It Now,1.875,347667,1.532,11
Jumpin' Jack Flash,1.523,215867,1.722,6
River,1.654,252095,1.292,2
You Know You Like It - Bondax Remix,1.847,191541,1.654,5
